Client,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Testimonial
Ali Mahdi,ali-mahdi,63ff8ad75f9a825983f1ad68,653adb5fe882f528b373343e,63ff8ad75f9a827525f1ad84,false,false,Fri Jun 17 2022 14:50:21 GMT+0000 (Coordinated Universal Time),Fri Mar 07 2025 07:42:15 GMT+0000 (Coordinated Universal Time),Fri Mar 07 2025 08:04:08 GMT+0000 (Coordinated Universal Time),"<p id="""">‘Nothing to wear’ involves emptying the entire contents of your closet onto your body and subsequently, your bed / desk / lounge chair and not seeing a single viable outfit option materialize. ‘Nothing to wear’ really, really sucks.&nbsp;</p>"
Ashton Blackwell,ashton-blackwell,63ff8ad75f9a825983f1ad68,653adb5fe882f528b373343e,63ff8ad75f9a82e6ecf1adad,false,false,Wed Jun 22 2022 10:02:43 GMT+0000 (Coordinated Universal Time),Fri Mar 07 2025 07:42:15 GMT+0000 (Coordinated Universal Time),Fri Mar 07 2025 08:04:08 GMT+0000 (Coordinated Universal Time),"<p>Don't be into trends, don't make fashion own you, you decide what you are, what you want to express, by the way you dress and the way you live.</p>"
Briana Ware,briana-ware,63ff8ad75f9a825983f1ad68,653adb5fe882f528b373343e,63ff8ad75f9a8258a1f1ada7,false,false,Wed Jun 22 2022 10:02:21 GMT+0000 (Coordinated Universal Time),Fri Mar 07 2025 07:42:15 GMT+0000 (Coordinated Universal Time),Fri Mar 07 2025 08:04:08 GMT+0000 (Coordinated Universal Time),"<p id="""">Personal style states how you feel and how you see and define yourself. It takes confidence to select and express your personal preferences, standing out from the crowd, and wearing what you like, instead of wearing what you ‘should’ in order to fit in.&nbsp;</p>"
Deleniti,deleniti,63ff8ad75f9a825983f1ad68,653adb5fe882f528b373343e,63ff8ad75f9a823251f1ad4f,true,false,Thu Jun 02 2022 11:19:11 GMT+0000 (Coordinated Universal Time),Fri Jun 17 2022 14:48:00 GMT+0000 (Coordinated Universal Time),,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Lorem odio cursus faucibus euismod volutpat et, id tempor, ac.</p>"
Dolore Qui,dolore-qui,63ff8ad75f9a825983f1ad68,653adb5fe882f528b373343e,63ff8ad75f9a820830f1adac,true,false,Thu Jun 02 2022 11:19:11 GMT+0000 (Coordinated Universal Time),Fri Jun 17 2022 14:48:00 GMT+0000 (Coordinated Universal Time),,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Lorem odio cursus faucibus euismod volutpat et, id tempor, ac.</p>"
Et Inventore,et-inventore,63ff8ad75f9a825983f1ad68,653adb5fe882f528b373343e,63ff8ad75f9a829809f1ada6,true,false,Thu Jun 02 2022 11:19:11 GMT+0000 (Coordinated Universal Time),Fri Jun 17 2022 14:48:00 GMT+0000 (Coordinated Universal Time),,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Lorem odio cursus faucibus euismod volutpat et, id tempor, ac.</p>"
Fuga Incidunt,fuga-incidunt,63ff8ad75f9a825983f1ad68,653adb5fe882f528b373343e,63ff8ad75f9a8234a7f1ada4,true,false,Thu Jun 02 2022 11:19:11 GMT+0000 (Coordinated Universal Time),Fri Jun 17 2022 14:48:00 GMT+0000 (Coordinated Universal Time),,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Lorem odio cursus faucibus euismod volutpat et, id tempor, ac.</p>"
Jonathan Kelly,jonathan-kelly,63ff8ad75f9a825983f1ad68,653adb5fe882f528b373343e,63ff8ad75f9a82bee0f1ada5,false,false,Fri Jun 17 2022 14:51:01 GMT+0000 (Coordinated Universal Time),Fri Mar 07 2025 07:42:15 GMT+0000 (Coordinated Universal Time),Fri Mar 07 2025 08:04:08 GMT+0000 (Coordinated Universal Time),"<p>Do you ever find yourself staring at your closet full of clothes and feeling like you've got absolutely nothing to wear? During those dark times, it might seem like the only logical course of action is to go shopping — inject a little newness into that tired, old wardrobe of yours — but shopping is the last thing you should do.</p>"
Maxwell Tan,maxwell-tan,63ff8ad75f9a825983f1ad68,653adb5fe882f528b373343e,63ff8ad75f9a821d77f1ada1,false,false,Fri Jun 17 2022 14:47:50 GMT+0000 (Coordinated Universal Time),Fri Mar 07 2025 07:42:15 GMT+0000 (Coordinated Universal Time),Fri Mar 07 2025 08:04:08 GMT+0000 (Coordinated Universal Time),"<p>These days, by comparison, we're flying high when it comes to futuristic gadgets, but the one thing techies and fashionistas alike still haven't made real is <a href=""http://www.thecoveteur.com/cher-horowitz/"">a <em>Clueless</em>-worthy closet like Cher's</a> in the movie.</p>"
Noel Baldwin,noel-baldwin,63ff8ad75f9a825983f1ad68,653adb5fe882f528b373343e,63ff8ad75f9a822524f1ad69,false,false,Fri Jun 17 2022 14:48:32 GMT+0000 (Coordinated Universal Time),Fri Mar 07 2025 07:42:15 GMT+0000 (Coordinated Universal Time),Fri Mar 07 2025 08:04:08 GMT+0000 (Coordinated Universal Time),"<p id="""">Having 'nothing to wear' is undoubtedly one of the most common problems shoppers face within their respective wardrobes. </p>"
